Proteome Id,Organism Id,Sequence Count,Median pI,KS Statistic,KS P-Value,Avg Asp+Glu%,Avg Lys%,DE/K Ratio,Validation Status
UP000470772,523847,1989,6.7431,0.6566,0.0,12.41,7.99,1.68,Failed
UP000694018,523848,2775,7.5297,0.6941,0.0,12.22,8.32,1.59,Failed
UP000006681,572478,2215,6.8192,0.6694,0.0,11.39,5.07,2.74,Failed
UP000002573,591019,1414,8.8702,0.7751,0.0,11.93,8.06,1.61,Failed
UP000248410,619593,1966,6.7832,0.6579,0.0,12.51,9.09,1.47,Failed
UP000002376,633148,1265,7.5132,0.7027,0.0,11.99,6.8,1.95,Failed
UP000000346,666510,1261,6.3963,0.611,0.0,11.87,4.99,3.14,Failed
UP000003980,671065,2876,7.7375,0.6843,0.0,12.32,6.77,2.16,Failed
UP000652307,683846,1192,7.6463,0.6835,0.0,12.73,8.89,1.55,Failed
UP000001037,694429,1600,7.7091,0.7124,0.0,12.62,4.79,3.38,Failed
UP000009062,698757,2309,7.8374,0.7309,0.0,11.81,5.82,2.38,Failed
UP000001068,765177,1193,6.9606,0.7141,0.0,12.04,5.27,2.7,Failed
UP000006175,768672,1298,7.1542,0.7179,0.0,11.87,6.23,2.17,Failed
UP000002654,768679,1729,7.6883,0.7119,0.0,12.0,5.3,2.71,Failed
UP000006395,930943,2393,7.6318,0.7066,0.0,12.23,8.32,1.56,Failed
UP000002664,930945,2326,7.6196,0.7014,0.0,12.24,8.34,1.57,Failed
UP000008458,933801,2056,6.847,0.6534,0.0,12.87,9.07,1.5,Failed
UP000007485,985053,2075,6.8358,0.6638,0.0,11.3,5.36,2.48,Failed
UP000008138,999630,1707,7.0266,0.6803,0.0,12.28,5.09,2.92,Failed
UP000007812,1006006,1855,7.0213,0.676,0.0,12.21,7.48,1.79,Failed
UP000011281,1028566,2049,7.6245,0.7126,0.0,12.43,8.29,1.61,Failed
UP000011280,1028567,2086,7.5886,0.7096,0.0,12.42,8.27,1.61,Failed
UP000010469,1056495,1277,7.5202,0.6846,0.0,12.36,9.24,1.41,Failed
UP000005867,1104324,2238,8.0657,0.7424,0.0,11.68,5.21,2.78,Failed
UP000024332,1160895,2081,6.7828,0.6658,0.0,12.48,8.29,1.61,Failed
UP000007391,1163730,1238,7.5869,0.6855,0.0,12.68,8.87,1.55,Failed
UP000005270,1184251,1232,7.6957,0.7279,0.0,12.07,5.93,2.4,Failed
UP000013006,1241935,2276,7.1601,0.697,0.0,12.29,8.3,1.58,Failed
UP000058613,1273541,1617,7.0339,0.6603,0.0,12.49,4.81,3.46,Failed
UP000196694,1273541,1588,7.0283,0.6577,0.0,12.51,4.8,3.5,Failed
UP000247586,1293036,2151,6.8595,0.6753,0.0,12.39,7.14,1.91,Failed
UP000657075,1293586,2289,6.8086,0.66,0.0,11.38,5.1,2.73,Failed
UP001060771,1293586,2375,6.9096,0.6697,0.0,11.25,5.14,2.67,Failed
UP000322983,1294262,2463,6.6916,0.6307,0.0,12.44,7.78,1.78,Failed
UP000325030,1294262,2458,6.6462,0.6278,0.0,12.46,7.79,1.79,Failed
UP000054284,1326980,1785,6.8441,0.6684,0.0,12.86,8.06,1.72,Failed
UP000509301,1532350,1945,6.9239,0.6833,0.0,12.4,7.22,1.89,Failed
UP001319921,1702097,2822,7.7153,0.7032,0.0,12.49,8.76,1.53,Failed
UP000594121,2776706,1510,7.6514,0.7037,0.0,12.26,5.39,2.67,Failed
UP000825123,2824673,2622,6.9223,0.6539,0.0,12.42,8.17,1.65,Failed
UP000593766,3402707,1280,7.1348,0.6854,0.0,12.01,6.72,1.99,Failed
