Proteome Id,Organism,Organism Id,Protein count,CPD,Taxon mnemonic,Components,Genome assembly ID,Genome representation,Complete,Single,Double,Fragmented,Missing,Count,Taxonomy_Root,Taxonomy_Domain,Taxonomy_Clade1,Taxonomy_Phylum,Taxonomy_Clade2,Taxonomy_Class,Taxonomy_Order,Taxonomy_Family,Taxonomy_Genus,Taxonomy_Species,Taxonomy_Level_11
UP000252189,Haloplanus salinus,1126245,3354,Standard,9EURY,Unassembled WGS sequence,GCA_003336245.1,full,98.1,97.3,0.8,0.2,1.7,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Haloplanus,,
UP000253273,Haloplanus rubicundus,1547898,3427,Unknown,9EURY,Plasmid pCBA1113-02; Plasmid pCBA1113-01; Chromosome,GCA_003342695.1,full,96.7,96.1,0.7,0.1,3.2,1039.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Haloplanus,,
UP000258613,Natrarchaeobaculum sulfurireducens,2044521,3734,Close to standard (high value),9EURY,Chromosome; Plasmid pAArc-Mg-01,GCA_003430805.1,full,97.6,96.2,1.3,0.4,2.0,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natrarchaeobaculum,,
UP000263012,Halalkaliarchaeum desulfuricum,2055893,3224,Unknown,9EURY,Chromosome,GCA_002952775.1,full,95.9,95.4,0.5,0.1,4.0,1039.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halalkaliarchaeum,,
UP000276588,Halonotius aquaticus,2216978,2460,Outlier (low value),9EURY,Unassembled WGS sequence,GCA_003605575.1,full,95.1,94.5,0.7,0.2,4.6,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halonotius,,
UP000282007,Haloplanus aerogenes,660522,3463,Unknown,9EURY,Plasmid pjcm16430-01; Chromosome,GCA_003856835.1,full,97.7,97.3,0.4,0.1,2.2,1039.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Haloplanus,,
UP000283805,Halopiger aswanensis,148449,4631,Unknown,9EURY,Unassembled WGS sequence,GCA_003610195.1,full,99.0,98.4,0.6,0.0,1.0,1368.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Halopiger,,
UP000296706,Halapricum salinum,1457250,3303,Unknown,9EURY,Chromosome,GCA_004799665.1,full,98.8,97.7,1.1,0.1,1.1,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Halapricum,,
UP000307562,Natrinema pallidum,69527,3600,Unknown,9EURY,Plasmid pnpa70; Chromosome; Plasmid pnpa200,GCA_005890195.1,full,99.4,97.6,1.9,0.1,0.4,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,,
UP000323537,Halorubrum aquaticum,387340,3113,Unknown,9EURY,Unassembled WGS sequence,GCA_900113615.1,full,99.9,99.4,0.5,0.0,0.1,1039.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum,,
UP000324104,Natrialba swarupiae,2448032,3817,Close to standard (high value),9EURY,Unassembled WGS sequence,GCA_008245225.1,full,97.9,97.1,0.8,0.2,1.9,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natrialba,,
UP000326170,Natronorubrum aibiense,348826,3995,Unknown,9EURY,Plasmid unnamed1; Plasmid unnamed2; Chromosome; Plasmid unnamed3,GCA_009392895.1,full,96.6,95.7,0.9,0.0,3.4,1368.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natronorubrum,,
UP000326865,Halosegnis rubeus,2212850,2485,Unknown,9EURY,Unassembled WGS sequence,GCA_009184575.1,full,98.5,98.3,0.1,0.0,1.5,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Halosegnis,,
UP000428325,Haloplanus rallus,1816183,3448,Standard,9EURY,Chromosome; Plasmid pMBLA003601,GCA_009762275.1,full,97.9,97.0,0.9,0.1,2.0,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Haloplanus,,
UP000437065,Halobaculum saliterrae,2073113,3606,Unknown,9EURY,Unassembled WGS sequence,GCA_009831625.1,full,98.7,98.4,0.3,0.0,1.3,1039.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halobaculum,,
UP000451471,Halomarina oriensis,671145,4092,Unknown,9EURY,Unassembled WGS sequence,GCA_009791395.1,full,97.0,96.1,0.9,0.2,2.8,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Halomarina,,
UP000466535,Halovenus carboxidivorans,2692199,3185,Close to standard (low value),9EURY,Unassembled WGS sequence,GCA_009831575.1,full,97.3,96.5,0.9,0.1,2.5,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Halovenus,,
UP000505020,Halorubrum salinarum,2739057,3250,Unknown,9EURY,Plasmid phar01; Plasmid phar02; Chromosome,GCA_013267195.1,full,99.9,99.4,0.5,0.0,0.1,1039.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum,,
UP000509241,Natrinema halophilum,1699371,3981,Unknown,9EURY,Chromosome; Plasmid unnamed1; Plasmid unnamed2,GCA_013402815.2,full,99.0,98.7,0.3,0.1,1.0,1368.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,,
UP000509346,Halosimplex pelagicum,869886,4954,Unknown,9EURY,Chromosome,GCA_013415905.1,full,98.9,98.1,0.8,0.1,1.0,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Halosimplex,,
UP000509626,Halorarum salinum,2743089,4124,Outlier (high value),9EURY,Chromosome; Plasmid unnamed1,GCA_013402875.1,full,98.6,97.5,1.1,0.0,1.4,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halorarum,,
UP000509667,Halosimplex rubrum,869889,4307,Unknown,9EURY,Chromosome,GCA_013415885.1,full,99.2,98.7,0.6,0.1,0.7,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Halosimplex,,
UP000509750,Halorarum halophilum,2743090,4176,Outlier (high value),9EURY,Chromosome; Plasmid unnamed1; Plasmid unnamed2; Plasmid unnamed3,GCA_013401515.1,full,98.7,97.8,0.9,0.1,1.2,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halorarum,,
UP000510869,Natrinema zhouii,1710539,3597,Unknown,9EURY,Chromosome; Plasmid unnamed1; Plasmid unnamed2; Plasmid unnamed3; Plasmid unnamed4,GCA_013456555.2,full,99.6,99.3,0.3,0.1,0.4,1368.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,,
UP000595001,Halosimplex litoreum,1198301,4010,Unknown,9EURY,Chromosome,GCA_016065055.1,full,99.4,99.0,0.4,0.1,0.4,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Halosimplex,,
UP000637819,Haloterrigena salifodinae,2675099,4728,Unknown,9EURY,Plasmid pHTS138; Chromosome; Plasmid pHTS171; Plasmid pHTS220; Plasmid pHTS280.6; Plasmid pHTS96,GCA_016906025.1,full,99.1,96.6,2.5,0.0,0.9,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Haloterrigena,,
UP000653099,Halobellus salinus,931585,2946,Unknown,9EURY,Unassembled WGS sequence,GCA_014646875.1,full,97.3,97.1,0.2,0.0,2.7,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halobellus,,
UP000662973,Halapricum desulfuricans,2841257,3010,Close to standard (low value),9EURY,Chromosome,GCA_017094525.1,full,95.6,94.4,1.2,0.1,4.3,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Halapricum,,
UP000663191,Natrinema longum,370324,3429,Unknown,9EURY,Chromosome,GCA_017352095.1,full,99.1,98.0,1.1,0.1,0.8,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,,
UP000663203,Haloterrigena alkaliphila,2816475,3632,Close to standard (high value),9EURY,Chromosome; Plasmid unnamed1; Plasmid unnamed2,GCA_017352155.2,full,97.6,96.1,1.4,0.1,2.3,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Haloterrigena,,
UP000663292,Halapricum desulfuricans,2841257,2859,Unknown,9EURY,Chromosome; Plasmid pHSR-Est01,GCA_017094465.1,full,95.7,94.5,1.2,0.1,4.2,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Halapricum,,
UP000663586,Natranaeroarchaeum sulfidigenes,2784880,3117,Close to standard (low value),9EURY,Chromosome,GCA_017094485.1,full,97.5,96.6,0.9,0.2,2.3,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natronoarchaeaceae,Natranaeroarchaeum,,
UP000826254,Halobaculum magnesiiphilum,1017351,3639,Close to standard (high value),9EURY,Chromosome; Plasmid unnamed1; Plasmid unnamed2; Plasmid unnamed3,GCA_019823105.1,full,99.0,98.1,0.9,0.1,0.9,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halobaculum,,
UP000830434,Halorussus gelatinilyticus,2937524,3634,Unknown,9EURY,Chromosome,GCA_023238445.1,full,97.9,97.3,0.6,0.0,2.1,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,,
UP000830542,Halococcus dombrowskii,179637,3769,Unknown,HALDO,Plasmid unnamed1; Plasmid unnamed4; Plasmid unnamed3; Plasmid unnamed2; Chromosome; Plasmid unnamed5,GCA_022870485.1,full,99.4,98.2,1.2,0.1,0.4,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,,
UP000830729,Halorussus limi,2938695,4521,Unknown,9EURY,Chromosome; Plasmid unnamed1; Plasmid unnamed2; Plasmid unnamed3; Plasmid unnamed4,GCA_023238205.1,full,99.2,98.1,1.1,0.0,0.8,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,,
UP000831768,Halocatena salina,2934340,3723,Unknown,9EURY,Chromosome; Plasmid unnamed1; Plasmid unnamed2; Plasmid unnamed3; Plasmid unnamed4,GCA_023115355.1,full,96.9,95.8,1.1,0.2,2.9,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Halocatena,,
UP001056855,Natronosalvus rutilus,2953753,4060,Outlier (high value),9EURY,Chromosome; Plasmid unnamed1; Plasmid unnamed2; Plasmid unnamed3,GCA_024204665.1,full,98.2,96.9,1.3,0.2,1.5,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natronosalvus,,
UP001057580,Salinirubellus salinus,1364945,4358,Unknown,9EURY,Chromosome; Plasmid unnamed1,GCA_025231485.1,full,98.8,97.2,1.5,0.0,1.2,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Salinirubellus,,
UP001166304,Haloarcula salina,1429914,3782,Unknown,9EURY,Unassembled WGS sequence,GCA_019061225.1,full,99.7,98.7,1.0,0.0,0.3,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,,
UP001224926,Natrinema thermotolerans,121872,3956,Unknown,9EURY,Chromosome; Plasmid unnamed1; Plasmid unnamed2; Plasmid unnamed3,GCA_031165565.1,full,99.1,83.5,15.6,0.1,0.8,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,,
UP000053157,Haloferax profundi,1544718,3440,Unknown,9EURY,Unassembled WGS sequence,GCA_001469865.1,full,96.2,95.7,0.5,1.2,2.7,1039.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Haloferax,,
UP000053621,Haloferax marisrubri,1544719,3741,Unknown,9EURY,Unassembled WGS sequence,GCA_001469875.2,full,99.9,99.7,0.2,0.0,0.1,1039.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Haloferax,,
UP000054387,Haloprofundus marisrubri,1514971,3761,Unknown,9EURY,Unassembled WGS sequence,GCA_001469955.1,full,98.5,97.7,0.8,0.1,1.4,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Haloprofundus,,
UP000075321,Halalkalicoccus paucihalophilus,1008153,4161,Unknown,9EURY,Unassembled WGS sequence,GCA_001593955.1,full,98.3,97.6,0.8,0.3,1.3,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Halococcaceae,Halalkalicoccus,,
UP000183275,Natrinema salifodinae,1202768,4090,Unknown,9EURY,Unassembled WGS sequence,GCA_900110455.1,full,99.2,99.0,0.2,0.0,0.8,1368.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,,
UP000183769,Halolamina pelagica,699431,3217,Unknown,9EURY,Unassembled WGS sequence,GCA_900115675.1,full,96.9,96.1,0.8,0.2,2.9,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halolamina,,
UP000184357,Halobaculum gomorrense,43928,3149,Close to standard (low value),9EURY,Unassembled WGS sequence,GCA_900129775.1,full,98.9,98.6,0.3,0.2,0.9,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halobaculum,,
UP000185687,Natronorubrum daqingense,588898,3795,Unknown,9EURY,Unassembled WGS sequence,GCA_900156445.1,full,98.1,96.5,1.7,0.0,1.9,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natronorubrum,,
UP000185936,Natronorubrum thiooxidans,308853,4231,Unknown,9EURY,Unassembled WGS sequence,GCA_900156475.1,full,98.3,96.7,1.7,0.1,1.5,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natronorubrum,,
UP000186914,Haladaptatus litoreus,553468,4885,Unknown,9EURY,Unassembled WGS sequence,GCA_900156425.1,full,99.8,98.6,1.2,0.0,0.2,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,,
UP000189370,Natrinema saccharevitans,301967,3699,Unknown,9EURY,Unassembled WGS sequence,GCA_001953745.1,full,99.6,98.7,0.9,0.0,0.4,1368.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,,
UP000196084,Natronolimnobius baerhuensis,253108,3662,Unknown,9EURY,Unassembled WGS sequence,GCA_002177135.1,full,96.9,96.4,0.4,0.0,3.1,1368.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natronolimnobius,,
UP000198518,Halobacterium jilantaiense,355548,3054,Close to standard (low value),9EURY,Unassembled WGS sequence,GCA_900110535.1,full,98.9,98.9,0.0,0.1,1.0,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,,
UP000198531,Halogeometricum rufum,553469,4155,Outlier (high value),9EURY,Unassembled WGS sequence,GCA_900112175.1,full,99.7,98.8,0.9,0.2,0.1,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halogeometricum,,
UP000198856,Halovenus aranensis,890420,3354,Unknown,9EURY,Unassembled WGS sequence,GCA_900100385.1,full,97.5,96.2,1.2,0.1,2.4,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Halovenus,,
UP000198876,Halopelagius inordinatus,553467,3559,Unknown,9EURY,Unassembled WGS sequence,GCA_900113245.1,full,99.9,99.7,0.2,0.1,0.0,1039.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halopelagius,,
UP000198882,Natronorubrum texcoconense,1095776,4464,Outlier (high value),9EURY,Unassembled WGS sequence,GCA_900100335.1,full,98.8,95.8,3.0,0.1,1.1,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natronorubrum,,
UP000199079,Halopenitus persicus,1048396,3343,Unknown,9EURY,Unassembled WGS sequence,GCA_900107205.1,full,99.2,98.8,0.4,0.1,0.7,1039.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halopenitus,,
UP000199112,Natronorubrum sediminis,640943,3617,Unknown,9EURY,Unassembled WGS sequence,GCA_900108095.1,full,98.2,96.6,1.7,0.1,1.7,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natronorubrum,,
UP000199114,Natrinema salaciae,1186196,4688,Unknown,9EURY,Unassembled WGS sequence,GCA_900110865.1,full,99.9,99.6,0.2,0.0,0.1,1368.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,,
UP000199126,Halogranum amylolyticum,660520,5247,Outlier (high value),9EURY,Unassembled WGS sequence,GCA_900110465.1,full,99.6,97.2,2.3,0.0,0.4,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halogranum,,
UP000199170,Halobellus clavatus,660517,3679,Close to standard (high value),9EURY,Unassembled WGS sequence,GCA_900107195.1,full,99.4,98.8,0.6,0.1,0.5,1039.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halobellus,,
UP000199215,Halopenitus malekzadehii,1267564,3119,Close to standard (low value),9EURY,Unassembled WGS sequence,GCA_900108505.1,full,96.8,95.8,1.0,0.1,3.1,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halopenitus,,
UP000199320,Natrinema hispanicum,392421,4122,Unknown,9EURY,Unassembled WGS sequence,GCA_900111485.1,full,98.3,97.0,1.3,0.1,1.5,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,,
